StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q139,Q200_First Click,Q200_Last Click,Q200_Page Submit,Q200_Click Count,Q202_First Click,Q202_Last Click,Q202_Page Submit,Q202_Click Count,Q147,Q22,Q19,Q142,Q21,Q206,Q207,Q208,Q209,Q210,Q213,Q214,Q215,Q216,Q217,Q193,Q170,Q164,Q143,Q144,Q220,Q221,Q223,Q224,Q122,Q123,Q124,Q125,Q126,Q127,Q128,Q129,Q130,Q172,Q174,Q176,Q178,Q180,Q182,Q184,Q186,Q188,Q190,Q192,Q194,Q196,Q198,Q200,Q202,Q204,SC0,SC1,SC2,SC3,SC4,SC5,confirmation_code,treatment_group,Comprehension score1,Enter Embedded Data Field Name Here...,Comprehension score2,Comprehension score3,ins_code,no_ins_code,LotteryQuiz1,LotteryQuiz2,LotteryQuiz3
2017-08-31 13:07:37,2017-08-31 13:37:30,IP Address,98.176.29.9,100,1793,True,2017-08-31 13:37:30,R_3h3HZmOQtaIjMzP,,,,,32.856094360352,-116.9967956543,anonymous,,I consent to participate in this study,23.087,112.225,573.574,2,,,,,True,$0.50,True,10,No,,,,,,,,,,,A2ZRLADV6YATHA,82960,,10,One lottery will be randomly selected,,,,,"Lottery B: 10% chance of winning $3.85, 90% chance of winning $0.10","Lottery B: 20% chance of winning $3.85, 80% chance of winning $0.10","Lottery A: 30% chance of winning $2.00, 70% chance of winning $1.60","Lottery B: 40% chance of winning $3.85, 60% chance of winning $0.10","Lottery B: 50% chance of winning $3.85, 50% chance of winning $0.10","Lottery B: 60% chance of winning $3.85, 40% chance of winning $0.10","Lottery B: 70% chance of winning $3.85, 30% chance of winning $0.10","Lottery A: 80% chance of winning $2.00, 20% chance of winning $1.60","Lottery A: 90% chance of winning $2.00, 10% chance of winning $1.60",Female,56,White or Caucasian,,5,United States,NY New York,11207,Nothing,Nothing,1 (No Impact),No,"$45,000 to $59,999",Bachelors degree,,I nearly always vote for Republicans,No,7,0,0,2,0,0,80388,ins,5,,,,1895527,,2,,
2017-08-31 13:06:26,2017-08-31 13:46:25,IP Address,174.134.218.130,100,2399,True,2017-08-31 13:46:25,R_2mCjx0gGTVs13tH,,,,,35.5498046875,-118.91709899902,anonymous,,I consent to participate in this study,,,,,66.814,916.595,917.546,6,True,$0.50,True,10,No,,,,,,,,,,,A1DJNUJZN8FE7N,,32687,10,One lottery will be randomly selected,,,,,"Lottery A: 10% chance of winning $2.00, 90% chance of winning $1.60","Lottery A: 20% chance of winning $2.00, 80% chance of winning $1.60","Lottery A: 30% chance of winning $2.00, 70% chance of winning $1.60","Lottery A: 40% chance of winning $2.00, 60% chance of winning $1.60","Lottery A: 50% chance of winning $2.00, 50% chance of winning $1.60","Lottery B: 60% chance of winning $3.85, 40% chance of winning $0.10","Lottery B: 70% chance of winning $3.85, 30% chance of winning $0.10","Lottery B: 80% chance of winning $3.85, 20% chance of winning $0.10","Lottery B: 90% chance of winning $3.85, 10% chance of winning $0.10",Male,26,White or Caucasian,Not Hispanic or Latino,5,United States,CA California,93304,I've read or talked about cattle ranching at least once before,I am familiar with drought,5,No,"Less than $15,000","High school diploma or equivalent ",,"I nearly always vote for Democrats ",Yes,7,0,0,2,0,0,76825,no_ins,5,,,,,2796888,2,,
2017-08-31 13:10:16,2017-08-31 13:50:16,IP Address,135.84.127.172,100,2400,True,2017-08-31 13:50:16,R_23maoi6SsyIpiU5,,,,,38.904205322266,-77.031997680664,anonymous,,I consent to participate in this study,,,,,1677.602,1677.602,1677.851,1,True,$0.50,True,10,No,,,,,,,,,,,A3IC0BQ4GF48SC,,23999,10,One lottery will be randomly selected,,,,,"Lottery A: 10% chance of winning $2.00, 90% chance of winning $1.60","Lottery A: 20% chance of winning $2.00, 80% chance of winning $1.60","Lottery A: 30% chance of winning $2.00, 70% chance of winning $1.60","Lottery A: 40% chance of winning $2.00, 60% chance of winning $1.60","Lottery A: 50% chance of winning $2.00, 50% chance of winning $1.60","Lottery B: 60% chance of winning $3.85, 40% chance of winning $0.10","Lottery A: 70% chance of winning $2.00, 30% chance of winning $1.60","Lottery B: 80% chance of winning $3.85, 20% chance of winning $0.10","Lottery B: 90% chance of winning $3.85, 10% chance of winning $0.10",Female,34,White or Caucasian,Not Hispanic or Latino,5,United States,TX Texas,73344,Nothing,Nothing,2,No,"$30,000 to $44,999","High school diploma or equivalent ",,I vote for Republicans,No,7,0,0,2,0,0,82834,no_ins,5,,,,,2833378,2,,
2017-08-31 13:08:26,2017-08-31 14:02:11,IP Address,67.238.4.58,100,3225,True,2017-08-31 14:02:11,R_8tVp6UJkONYeUsZ,,,,,26.574493408203,-81.943801879883,anonymous,,I consent to participate in this study,32.469,655.371,657.469,7,,,,,True,$0.50,True,10,No,,,,,,,,,,,A2G0HRT8HS9HRZ,70361,,10,One lottery will be randomly selected,,,,,"Lottery A: 10% chance of winning $2.00, 90% chance of winning $1.60","Lottery A: 20% chance of winning $2.00, 80% chance of winning $1.60","Lottery A: 30% chance of winning $2.00, 70% chance of winning $1.60","Lottery A: 40% chance of winning $2.00, 60% chance of winning $1.60","Lottery A: 50% chance of winning $2.00, 50% chance of winning $1.60","Lottery A: 60% chance of winning $2.00, 40% chance of winning $1.60","Lottery B: 70% chance of winning $3.85, 30% chance of winning $0.10","Lottery B: 80% chance of winning $3.85, 20% chance of winning $0.10","Lottery B: 90% chance of winning $3.85, 10% chance of winning $0.10",Male,38,Black or African American,Not Hispanic or Latino,5,United States,FL Florida,33901,Nothing,Nothing,2,No,"$30,000 to $44,999",Associate degree,,"I nearly always vote for Democrats ",Yes,7,0,0,2,0,0,59386,ins,5,,,,1008469,,2,,
2017-08-31 14:41:17,2017-08-31 15:15:51,IP Address,65.78.36.117,100,2074,True,2017-08-31 15:15:51,R_djqwVV1LCCYxeGV,,,,,40.655197143555,-75.381401062012,anonymous,,I consent to participate in this study,0,0,894.591,0,,,,,True,$0.50,True,10,Yes,True,$0.50,True,10,No,,,,,,A2O7H7VXLFN6BP,61428,,10,One lottery will be randomly selected,,,,,"Lottery A: 10% chance of winning $2.00, 90% chance of winning $1.60","Lottery A: 20% chance of winning $2.00, 80% chance of winning $1.60","Lottery A: 30% chance of winning $2.00, 70% chance of winning $1.60","Lottery A: 40% chance of winning $2.00, 60% chance of winning $1.60","Lottery A: 50% chance of winning $2.00, 50% chance of winning $1.60","Lottery A: 60% chance of winning $2.00, 40% chance of winning $1.60","Lottery B: 70% chance of winning $3.85, 30% chance of winning $0.10","Lottery B: 80% chance of winning $3.85, 20% chance of winning $0.10","Lottery B: 90% chance of winning $3.85, 10% chance of winning $0.10",Male,23,White or Caucasian,Not Hispanic or Latino,5,United States,PA Pennsylvania,18017,Nothing,I've read or talked about drought at least once before,2,No,"$60,000 to $74,999",Bachelors degree,,"I vote for Democrats more often than ",No,11,5,0,2,0,0,41134,ins,4,,5,,1550649,,2,,
2017-08-31 14:40:18,2017-08-31 15:22:00,IP Address,199.193.164.100,100,2502,True,2017-08-31 15:22:00,R_0vlXdBKmA3BdeV7,,,,,39.848403930664,-95.558502197266,anonymous,,I consent to participate in this study,,,,,0,0,1077.296,0,True,$0.50,True,10,No,,,,,,,,,,,AZJ6AT27OKHJL,,25863,10,One lottery will be randomly selected,,,,,"Lottery A: 10% chance of winning $2.00, 90% chance of winning $1.60","Lottery A: 20% chance of winning $2.00, 80% chance of winning $1.60","Lottery A: 30% chance of winning $2.00, 70% chance of winning $1.60","Lottery A: 40% chance of winning $2.00, 60% chance of winning $1.60","Lottery A: 50% chance of winning $2.00, 50% chance of winning $1.60","Lottery A: 60% chance of winning $2.00, 40% chance of winning $1.60","Lottery A: 70% chance of winning $2.00, 30% chance of winning $1.60","Lottery A: 80% chance of winning $2.00, 20% chance of winning $1.60","Lottery A: 90% chance of winning $2.00, 10% chance of winning $1.60",Female,50,White or Caucasian,Not Hispanic or Latino,5,United States,KS Kansas,66434,Nothing,I am familiar with drought,4,No,"$15,000 to $29,999","High school diploma or equivalent ",,"I vote for Democrats more often than ",No,7,0,0,2,0,0,76482,no_ins,5,,,,,2096967,2,,
2017-08-31 15:25:31,2017-08-31 16:19:50,IP Address,24.99.30.118,100,3259,True,2017-08-31 16:19:50,R_4NGXPHTyK0exJiJ,,,,,33.707107543945,-84.382301330566,anonymous,,I consent to participate in this study,466.675,466.675,1107.261,1,,,,,True,$0.50,True,10,No,,,,,,,,,,,A1TP0SGMUSJ34B,1432394,,10,One lottery will be randomly selected,,,,,"Lottery A: 10% chance of winning $2.00, 90% chance of winning $1.60","Lottery A: 20% chance of winning $2.00, 80% chance of winning $1.60","Lottery A: 30% chance of winning $2.00, 70% chance of winning $1.60","Lottery A: 40% chance of winning $2.00, 60% chance of winning $1.60","Lottery B: 50% chance of winning $3.85, 50% chance of winning $0.10","Lottery B: 60% chance of winning $3.85, 40% chance of winning $0.10","Lottery B: 70% chance of winning $3.85, 30% chance of winning $0.10","Lottery B: 80% chance of winning $3.85, 20% chance of winning $0.10","Lottery B: 90% chance of winning $3.85, 10% chance of winning $0.10",Female,22,Black or African American,Not Hispanic or Latino,5,United States,GA Georgia,30062,Nothing,I've read or talked about drought at least once before,1 (No Impact),Yes,"$15,000 to $29,999","High school diploma or equivalent ",,"I vote for Democrats more often than ",Yes,7,0,0,2,0,0,68754,ins,5,,,,1432394,,2,,
2017-08-31 15:46:56,2017-08-31 16:23:13,IP Address,97.107.169.202,100,2177,True,2017-08-31 16:23:13,R_dhiHmb3hgtP3j1j,,,,,40.42790222168,-74.416000366211,anonymous,,I consent to participate in this study,,,,,0,0,1082.699,0,True,$0.50,True,10,No,,,,,,,,,,,A15FXHC1CVNW31,," 25863",10,One lottery will be randomly selected,,,,,"Lottery A: 10% chance of winning $2.00, 90% chance of winning $1.60","Lottery A: 20% chance of winning $2.00, 80% chance of winning $1.60","Lottery A: 30% chance of winning $2.00, 70% chance of winning $1.60","Lottery A: 40% chance of winning $2.00, 60% chance of winning $1.60","Lottery A: 50% chance of winning $2.00, 50% chance of winning $1.60","Lottery B: 60% chance of winning $3.85, 40% chance of winning $0.10","Lottery B: 70% chance of winning $3.85, 30% chance of winning $0.10","Lottery B: 80% chance of winning $3.85, 20% chance of winning $0.10","Lottery B: 90% chance of winning $3.85, 10% chance of winning $0.10",Male,29,White or Caucasian,Not Hispanic or Latino,5,United States,NJ New Jersey,08844,Nothing,I've read or talked about drought at least once before,3,No,"$60,000 to $74,999",Associate degree,,Half the time I vote for Democrats and half the time I vote for Republicans,Yes,7,0,0,2,0,0,76023,no_ins,5,,,,,2867434,2,,
2017-08-31 17:09:44,2017-08-31 18:11:35,IP Address,209.237.83.193,100,3711,True,2017-08-31 18:11:35,R_9v0KYDjiWve4ZtX,,,,,43.216506958008,-123.34170532227,anonymous,,I consent to participate in this study,,,,,0,0,2254.962,0,True,$0.50,True,10,No,,,,,,,,,,,A1ALBJU1XOKYFH,," 97401",10,One lottery will be randomly selected,,,,,"Lottery A: 10% chance of winning $2.00, 90% chance of winning $1.60","Lottery A: 20% chance of winning $2.00, 80% chance of winning $1.60","Lottery A: 30% chance of winning $2.00, 70% chance of winning $1.60","Lottery A: 40% chance of winning $2.00, 60% chance of winning $1.60","Lottery A: 50% chance of winning $2.00, 50% chance of winning $1.60","Lottery A: 60% chance of winning $2.00, 40% chance of winning $1.60","Lottery A: 70% chance of winning $2.00, 30% chance of winning $1.60","Lottery A: 80% chance of winning $2.00, 20% chance of winning $1.60","Lottery A: 90% chance of winning $2.00, 10% chance of winning $1.60",Male,23,White or Caucasian,Not Hispanic or Latino,5,United States,OR Oregon,97471,Nothing,Nothing,1 (No Impact),No,"Less than $15,000",Associate degree,,"I vote for Democrats more often than ",Yes,7,0,0,2,0,0,40411,no_ins,5,,,,,2301359,2,,
2017-08-31 18:13:04,2017-08-31 18:56:04,IP Address,104.172.128.4,100,2580,True,2017-08-31 18:56:04,R_1LZT4nlFeT6dtRP,,,,,34.197998046875,-119.17259979248,anonymous,,I consent to participate in this study,25.243,644.411,890.571,3,,,,,True,$0,True,1,Yes,True,$0.50,True,10,No,,,,,,A1CH3TODZNQCES,79774,,10,One lottery will be randomly selected,,,,,"Lottery A: 10% chance of winning $2.00, 90% chance of winning $1.60","Lottery A: 20% chance of winning $2.00, 80% chance of winning $1.60","Lottery A: 30% chance of winning $2.00, 70% chance of winning $1.60","Lottery A: 40% chance of winning $2.00, 60% chance of winning $1.60","Lottery A: 50% chance of winning $2.00, 50% chance of winning $1.60","Lottery A: 60% chance of winning $2.00, 40% chance of winning $1.60","Lottery B: 70% chance of winning $3.85, 30% chance of winning $0.10","Lottery B: 80% chance of winning $3.85, 20% chance of winning $0.10","Lottery B: 90% chance of winning $3.85, 10% chance of winning $0.10",Male,28,White or Caucasian,Hispanic or Latino,5,United States,CA California,93030,Nothing,I've read or talked about drought at least once before,5,No,"$15,000 to $29,999",Bachelors degree,,"I am eligible, but I never vote",No,9,5,0,2,0,0,69440,ins,2,,5,,1184696,,2,,
2017-08-30 11:47:38,2017-08-30 11:49:11,IP Address,128.138.65.136,47,93,False,2017-09-06 11:49:16,R_410pERumfX8qQrH,,,,,,,anonymous,,I consent to participate in this study,,,,,0,0,5.397,0,True,$0.50,True,10,No,,,,,,,,,,,max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,0,0,0,0,88255,no_ins,5,,,,,2342416,,,
2017-08-30 12:25:41,2017-08-30 12:30:18,IP Address,98.235.69.98,9,277,False,2017-09-06 12:30:22,R_ddrg5m06FCBaZO5,,,,,,,anonymous,,I consent to participate in this study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,57457,no_ins,,,,,,,,,
2017-08-30 12:34:03,2017-08-30 13:09:57,IP Address,174.52.59.141,42,2154,False,2017-09-06 13:09:59,R_a2Ao6eBPDtvXdQh,,,,,,,anonymous,,I consent to participate in this study,14.985,901.826,903.372,3,,,,,True,$0.50,True,10,No,,,,,,,,,,,A125KW9P18V5Z1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,0,0,0,0,62088,ins,5,,,,1037936,,,,
2017-08-30 13:02:51,2017-08-30 13:14:03,IP Address,99.148.101.81,1,672,False,2017-09-06 13:14:06,R_ewDJCbxsaUFLKCh,,,,,,,anonymous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,
2017-08-30 12:11:35,2017-08-30 13:15:50,IP Address,46.21.154.83,47,3855,False,2017-09-06 13:15:55,R_eXJ0WYOLOWFsjwp,,,,,,,anonymous,,I consent to participate in this study,,,,,51.932,51.932,1130.581,1,True,$0.50,True,10,No,,,,,,,,,,,A360G7Q6RO5XRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,0,0,0,0,46674,no_ins,5,,,,,2694125,,,
2017-08-30 12:14:25,2017-08-30 13:17:10,IP Address,174.53.4.82,42,3765,False,2017-09-06 13:17:15,R_8bO4YMMcbfzoQmx,,,,,,,anonymous,,I consent to participate in this study,38.601,38.601,1033.405,1,,,,,True,$0.50,True,10,No,,,,,,,,,,,A16G6PPH1INQL8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,0,0,0,0,34966,ins,5,,,,1577724,,,,
2017-08-30 12:09:27,2017-08-30 13:19:01,IP Address,47.152.251.26,42,4174,False,2017-09-06 13:19:05,R_2hlmvivjwUIEbTn,,,,,,,anonymous,,I consent to participate in this study,0,0,12.034,0,,,,,True,$0.50,True,10,No,,,,,,,,,,,A2DPKKEEW2I6QK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,0,0,0,0,58372,ins,5,,,,1326372,,,,
2017-08-30 12:15:10,2017-08-30 13:20:07,IP Address,99.148.101.81,47,3897,False,2017-09-06 13:20:11,R_4JfcOZMT5Iv5rWl,,,,,,,anonymous,,I consent to participate in this study,,,,,192.438,1118.389,1148.889,2,True,$0.50,True,10,No,,,,,,,,,,,A1GXFMAC759VRM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,0,0,0,0,39701,no_ins,5,,,,,2188626,,,
2017-08-30 12:40:57,2017-08-30 14:41:00,IP Address,99.135.151.76,42,7203,False,2017-09-06 14:41:08,R_baA0VLV8EHuEDQx,,,,,,,anonymous,,I consent to participate in this study,165.397,754.039,755.22,2,,,,,True,$0.50,True,10,No,,,,,,,,,,,A2NA2OJT15COZY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,0,0,0,0,98788,ins,5,,,,1093123,,,,
2017-08-30 15:53:05,2017-08-30 16:11:48,IP Address,108.185.91.92,6,1123,False,2017-09-06 16:11:52,R_9sH7EjZS3Tkzfq5,,,,,,,anonymous,,I consent to participate in this study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,66379,ins,,,,,,,,,
2017-08-31 12:03:45,2017-08-31 12:05:40,IP Address,98.239.73.17,6,115,False,2017-09-07 12:05:46,R_eu1TxbQN4y78FPD,,,,,,,anonymous,,I consent to participate in this study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,81587,ins,,,,,,,,,
2017-08-31 12:56:24,2017-08-31 12:58:02,IP Address,184.57.218.153,6,98,False,2017-09-07 12:58:05,R_9X2bS6xzx1P69s9,,,,,,,anonymous,,I consent to participate in this study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,84924,ins,,,,,,,,,
2017-08-31 15:43:30,2017-08-31 15:46:43,IP Address,72.189.114.31,9,193,False,2017-09-07 15:46:48,R_b1y3j1CBZe4ku69,,,,,,,anonymous,,I consent to participate in this study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,40963,no_ins,,,,,,,,,
2017-08-31 16:53:32,2017-08-31 16:54:27,IP Address,75.133.243.227,5,55,False,2017-09-07 16:54:32,R_0UmosFurIYXPQzP,,,,,,,anonymous,,I consent to participate in this study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,91331,ins,,,,,,,,,
